total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
39,1.0000000000000000,1,1,1,39,-0.98703207409637383,1,,421
40,1.0000000000000000,1,1,2,1,-0.26417381615573277E-8,1,,830
